date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,shortwave_radiation_sum,et0_fao_evapotranspiration,state,region,latitude,longitude,extraction_date,type
2025-11-23,30.185,20.234999,24.310001,0.0,0.0,0.0,0.0,9.1641035,23.759998,15.58,3.3082986,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-24,30.185,20.835,24.94125,0.0,0.0,0.0,0.0,10.182337,27.0,14.36,3.0883052,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-25,32.135002,20.585,25.7225,0.0,0.0,0.0,0.0,12.074766,32.399998,15.97,3.527087,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-26,31.835,21.635,25.666248,0.3,0.0,0.3,0.0,8.287822,22.68,15.1,3.3033223,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-27,30.484999,20.785,24.6225,0.90000004,0.0,0.90000004,0.0,11.885453,31.68,14.6,2.9531126,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-28,25.984999,21.135,23.2475,5.4000006,0.0,5.4000006,0.0,14.003028,34.2,7.72,1.7389596,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-29,29.085,19.385,23.734999,0.0,0.0,0.0,0.0,10.239453,29.519999,14.28,3.007986,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-11-30,34.1805,20.785,25.994686,0.0,0.0,0.0,0.0,15.856354,40.68,17.19,4.353123,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-01,30.8305,20.130499,25.6805,0.0,0.0,0.0,0.0,13.779114,38.519997,10.85,3.0233636,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-02,33.2305,20.380499,26.005499,0.0,0.0,0.0,0.0,15.188415,41.399998,14.93,3.8768463,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-03,22.9805,22.3305,22.768,30.9,28.5,2.3999999,0.0,33.96233,63.36,0.56,0.34280816,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-04,28.530499,22.0805,24.36175,0.3,0.0,0.3,0.0,16.179985,48.6,12.88,2.751512,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-05,29.9305,20.030499,24.01175,0.0,0.0,0.0,0.0,10.464797,30.960001,17.26,3.5088716,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-06,31.4305,18.8305,24.005499,0.0,0.0,0.0,0.0,9.028754,32.760002,17.47,3.657239,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
2025-12-07,32.6805,20.380499,25.23675,0.0,0.0,0.0,0.0,13.089354,37.44,16.97,3.794059,Yucatan,Peninsula,20.7099,-89.0943,2025-11-23,forecast
